id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner,home_score,away_score,mean_spread,actual_margin,VoA_AE,vegas_AE,VoA_SE,vegas_SE,VoA_correct_winner,vegas_correct_winner,VoA_ATS_winner,VoA_AEATS_winner
372349,401851289,20252026,2026,regular,2026-03-11T16:30:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - 2nd Round,scheduled,125,Iowa State,6,Big 12,,10,Arizona State,6,Big 12,,394,T-Mobile Center,Kansas City,MO,12.279001536222708,-1.248189553166128,-13.527191089388836,Iowa State,91,42,-13.25,-49,35.472808910611164,35.75,1258.3201720087347,1278.0625,1,1,1,1
372370,401851178,20252026,2026,regular,2026-03-12T18:30:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - Quarterfinal,scheduled,168,Miami,2,ACC,,150,Louisville,2,ACC,,428,Spectrum Center,Charlotte,NC,7.509606523460036,8.866455310377319,1.3568487869172827,Louisville,78,73,1.25,-5,6.356848786917283,6.25,40.409526499731726,39.0625,0,0,0,0
372366,401851296,20252026,2026,regular,2026-03-12T16:30:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - Quarterfinal,scheduled,298,Texas Tech,6,Big 12,,125,Iowa State,6,Big 12,,394,T-Mobile Center,Kansas City,MO,7.546968701154853,12.279001536222708,4.732032835067855,Iowa State,53,75,6.5,22,17.267967164932145,15.5,298.1826900091747,240.25,1,1,0,0
372334,401851549,20252026,2026,regular,2026-03-11T23:00:00.000000,false,false,true,TRNMNT,,Patriot League Championship - Final,scheduled,141,Lehigh,23,Patriot,,27,Boston University,23,Patriot,,382,Stabler Arena,Bethlehem,PA,-1.0026777662519208,2.983270252024127,0.9859480182760478,Boston University,74,60,2.5,-14,14.985948018276048,16.5,224.5786380064718,272.25,0,0,1,1
372373,401851499,20252026,2026,regular,2026-03-12T19:00:00.000000,false,true,true,TRNMNT,,Mountain West Championship - Quarterfinal,scheduled,329,Utah State,20,Mountain West,,322,UNLV,20,Mountain West,,194,Thomas & Mack Center,Las Vegas,NV,9.515491505431768,-2.6654090752532227,-12.180900580684991,Utah State,80,60,-8.5,-20,7.819099419315009,11.5,61.13831572913231,132.25,1,1,1,1
372182,401851582,20252026,2026,regular,2026-03-08T01:30:00.000000,false,true,true,TRNMNT,,SoCon Championship - Quarterfinal,scheduled,164,Mercer,26,SoCon,,348,Western Carolina,26,SoCon,,447,Harrah's Cherokee Center,Asheville,NC,1.7299511241382106,-2.829831006730629,-4.5597821308688395,Mercer,73,77,-2.25,4,8.55978213086884,6.25,73.26987012794149,39.0625,0,0,0,0
212088,401809104,20252026,2026,regular,2026-03-08T02:00:00.000000,false,false,true,STD,,,scheduled,311,UC Santa Barbara,11,Big West,,310,UC San Diego,11,Big West,,184,The Thunderdome,Santa Barbara,CA,4.522436412823339,1.299984871098843,-6.222451541724496,UC Santa Barbara,63,64,-1.75,1,7.222451541724496,2.75,52.163806272558546,7.5625,0,0,0,0
212103,401804965,20252026,2026,regular,2026-03-07T20:00:00.000000,false,false,true,STD,,,scheduled,327,UTEP,13,CUSA,,128,Jacksonville State,13,CUSA,,166,Don Haskins Center,El Paso,TX,-4.920859045721301,0.42515450536316735,2.346013551084468,Jacksonville State,61,64,1.25,3,0.653986448915532,1.75,0.4276982753651478,3.0625,1,1,1,1
372264,401851494,20252026,2026,regular,2026-03-08T16:00:00.000000,false,true,true,TRNMNT,,MVC Tournament - Final,scheduled,315,UIC,19,MVC,,209,Northern Iowa,19,MVC,,436,Enterprise Center,St. Louis,MO,4.090820366713032,5.306157954538733,1.215337587825701,Northern Iowa,69,84,2.5,15,13.784662412174299,12.5,190.01691781761096,156.25,1,1,0,0
372266,401851251,20252026,2026,regular,2026-03-08T18:00:00.000000,false,true,true,TRNMNT,,ASUN Championship - Final,scheduled,43,Central Arkansas,3,ASUN,,362,Queens University,3,ASUN,,15,VyStar Veterans Memorial Arena,Jacksonville,FL,1.309251921224373,1.695926574716907,0.38667465349253405,Queens University,93,98,-2.5,5,4.613325346507466,7.5,21.28277075272823,56.25,1,0,1,1
372274,401856430,20252026,2026,regular,2026-03-09T00:30:00.000000,false,true,true,TRNMNT,,CAA Championship - Quarterfinal,scheduled,110,Hofstra,12,CAA,,353,William & Mary,12,CAA,,476,Entertainment & Sports Arena,Washington,DC,6.996397560172298,1.7306949986523819,-5.265702561519916,Hofstra,92,61,-2.25,-31,25.734297438480084,28.75,662.2540646521626,826.5625,1,1,1,1
372380,401851223,20252026,2026,regular,2026-03-12T23:00:00.000000,false,true,true,TRNMNT,,American Conference Championship - 2nd Round,scheduled,48,Charlotte,5,American,,303,Tulane,5,American,,377,Legacy Arena at BJCC,Birmingham,AL,1.5968675503426653,-1.7185469235543138,-3.315414473896979,Charlotte,74,60,-1.25,-14,10.684585526103021,12.75,114.16036786461017,162.5625,1,1,1,1
372396,401851565,20252026,2026,regular,2026-03-13T17:00:00.000000,false,true,true,TRNMNT,,SEC Tournament - Quarterfinal,scheduled,87,Florida,24,SEC,,135,Kentucky,24,SEC,,481,Bridgestone Arena,Nashville,TN,10.001813669643,6.436656154126453,-3.565157515516546,Florida,71,63,-10.5,-8,4.434842484483454,2.5,19.667827862179376,6.25,1,1,1,0
212100,401804968,20252026,2026,regular,2026-03-07T20:00:00.000000,false,false,true,STD,,,scheduled,176,Missouri State,13,CUSA,,171,Middle Tennessee,13,CUSA,,328,Great Southern Bank Arena,Springfield,MO,0.6971054874374261,-1.9131875635885365,-5.6102930510259625,Missouri State,63,75,-2.5,12,17.610293051025963,14.5,310.1224213430133,210.25,0,0,0,0
372431,401851227,20252026,2026,regular,2026-03-14T19:00:00.000000,false,true,true,TRNMNT,,American Conference Championship - Semifinal,scheduled,271,South Florida,5,American,,48,Charlotte,5,American,,377,Legacy Arena at BJCC,Birmingham,AL,6.218026963963467,1.5968675503426653,-4.621159413620802,South Florida,86,64,-15.25,-22,17.378840586379198,6.75,302.02410012678087,45.5625,1,1,0,0
