id,source_id,season_label,season,season_type,start_date,start_time_tbd,neutral_site,conference_game,game_type,tournament,game_notes,status,home_team_id,home_team,home_conference_id,home_conference,home_seed,away_team_id,away_team,away_conference_id,away_conference,away_seed,venue_id,venue,city,state,home_rating,away_rating,proj_margin,proj_winner
372283,401851283,20252026,2026,regular,2026-03-10T19:00:00.000000,false,true,true,TRNMNT,,Phillips 66 Big 12 Tournament - 1st Round,scheduled,51,Cincinnati,6,Big 12,,331,Utah,6,Big 12,,394,T-Mobile Center,Kansas City,MO,1.5714205285193685,-4.403628718441084,-5.975049246960452,Cincinnati
372400,401851381,20252026,2026,regular,2026-03-13T18:30:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - Quarterfinal,scheduled,118,Illinois,10,Big Ten,,355,Wisconsin,10,Big Ten,,449,United Center,Chicago,IL,13.732985568388969,4.95653110400464,-8.77645446438433,Illinois
372419,401851395,20252026,2026,regular,2026-03-14T01:00:00.000000,false,true,true,TRNMNT,,Big West Championship - Semifinal,scheduled,308,UC Irvine,11,Big West,,38,Cal State Northridge,11,Big West,,264,Lee's Family Forum,Henderson,NV,-0.6867145429116022,-2.7249180632129963,-2.038203520301394,UC Irvine
372256,401851715,20252026,2026,regular,2026-03-10T00:30:00.000000,false,true,true,TRNMNT,,SWAC Tournament - 1st Round,scheduled,103,Grambling,25,SWAC,,175,Mississippi Valley State,25,SWAC,,529,Gateway Center,College Park,GA,-0.614841582611362,-14.805612328665106,-14.190770746053744,Grambling
215241,401825567,20252026,2026,regular,2026-03-08T19:00:00.000000,false,false,true,STD,,,scheduled,160,Maryland,10,Big Ten,,118,Illinois,10,Big Ten,,86,XFINITY Center,College Park,MD,-5.954355563811575,13.732985568388969,16.687341132200544,Illinois
372380,401851223,20252026,2026,regular,2026-03-12T23:00:00.000000,false,true,true,TRNMNT,,American Conference Championship - 2nd Round,scheduled,48,Charlotte,5,American,,303,Tulane,5,American,,377,Legacy Arena at BJCC,Birmingham,AL,1.5968675503426653,-1.7185469235543138,-3.315414473896979,Charlotte
359041,401828467,20252026,2026,regular,2026-03-07T19:00:00.000000,false,false,true,STD,,,scheduled,151,Loyola Chicago,1,A-10,,96,George Washington,1,A-10,,160,Gentile Arena,Chicago,IL,-5.689733196731112,6.082582037006901,8.772315233738013,George Washington
372398,401851722,20252026,2026,regular,2026-03-13T18:00:00.000000,false,true,true,TRNMNT,,SWAC Tournament - Semifinal,scheduled,4,Alabama A&M,25,SWAC,,232,Prairie View A&M,25,SWAC,,529,Gateway Center,College Park,GA,-2.252622211103187,-5.997719189161131,-3.745096978057944,Alabama A&M
372363,401851177,20252026,2026,regular,2026-03-12T16:00:00.000000,false,true,true,TRNMNT,,T. Rowe Price ACC Tournament - Quarterfinal,scheduled,339,Virginia,2,ACC,,185,NC State,2,ACC,,428,Spectrum Center,Charlotte,NC,10.64374700176603,1.9799810824879671,-8.663765919278063,Virginia
372428,401851569,20252026,2026,regular,2026-03-14T17:00:00.000000,false,true,true,TRNMNT,,SEC Tournament - Semifinal,scheduled,87,Florida,24,SEC,,336,Vanderbilt,24,SEC,,481,Bridgestone Arena,Nashville,TN,10.001813669643,5.987340168227391,-4.014473501415608,Florida
372384,401851378,20252026,2026,regular,2026-03-13T01:00:00.000000,false,true,true,TRNMNT,,Big Ten Tournament - 3rd Round,scheduled,313,UCLA,10,Big Ten,,245,Rutgers,10,Big Ten,,449,United Center,Chicago,IL,4.964856495252292,-5.076276996453984,-10.041133491706276,UCLA
